,,Employee Payroll,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8/28/2026,,,,,
,,,House Worked,,,,,Overtime Hours,,,,,Pay,,,,,Overtime Bonus,,,,,Total Pay,,,,,January Pay,
Last Name,First Name,Hourly Wage,1/1/2026,1/8/2026,1/15/2026,1/22/2026,1/29/2026,1/1/2026,1/8/2026,1/15/2026,1/22/2026,1/29/2026,1/1/2026,1/8/2026,1/15/2026,1/22/2026,1/29/2026,1/1/2026,1/8/2026,1/15/2026,1/22/2026,1/29/2026,1/1/2026,1/8/2026,1/15/2026,1/22/2026,1/29/2026,,
Aarav,Sharma, $5.00 ,8,8,8.5,8.75,8,0,0,0.5,0.75,0, $40.0 , $40.0 , $42.5 , $43.8 , $40.0 , $-   , $-   , $1.25 , $1.88 , $-   , $40.0 , $40.0 , $43.8 , $45.6 , $40.0 , $209.4 ,
Priya,Nair, $7.00 ,7.5,7.5,7.25,7.25,7,0,0,0,0,0, $52.5 , $52.5 , $50.8 , $50.8 , $49.0 , $-   , $-   , $-   , $-   , $-   , $52.5 , $52.5 , $50.8 , $50.8 , $49.0 , $255.5 ,
Rahul,Mehta, $6.00 ,8.25,8.25,8,8.5,9,0.25,0.25,0,0.5,1, $49.5 , $49.5 , $48.0 , $51.0 , $54.0 , $0.75 , $0.75 , $-   , $1.50 , $3.00 , $50.3 , $50.3 , $48.0 , $52.5 , $57.0 , $258.0 ,
Ananya,Iyer, $8.00 ,8,8,6.75,6.75,6,0,0,0,0,0, $64.0 , $64.0 , $54.0 , $54.0 , $48.0 , $-   , $-   , $-   , $-   , $-   , $64.0 , $64.0 , $54.0 , $54.0 , $48.0 , $284.0 ,
Karthik,Reddy, $4.00 ,10,9,9,9.5,8,2,1,1,1.5,0, $40.0 , $36.0 , $36.0 , $38.0 , $32.0 , $4.00 , $2.00 , $2.00 , $3.00 , $-   , $44.0 , $38.0 , $38.0 , $41.0 , $32.0 , $193.0 ,
Sneha,Patel, $9.00 ,7.75,7.75,7.5,7.75,7,0,0,0,0,0, $69.8 , $69.8 , $67.5 , $69.8 , $63.0 , $-   , $-   , $-   , $-   , $-   , $69.8 , $69.8 , $67.5 , $69.8 , $63.0 , $339.8 ,
Arjun,Kumar, $6.00 ,8.5,8.5,8.25,8.25,9,0.5,0.5,0.25,0.25,1, $51.0 , $51.0 , $49.5 , $49.5 , $54.0 , $1.50 , $1.50 , $0.75 , $0.75 , $3.00 , $52.5 , $52.5 , $50.3 , $50.3 , $57.0 , $262.5 ,
Divya,Menon, $5.00 ,7,7,7.75,6.5,8,0,0,0,0,0, $35.0 , $35.0 , $38.8 , $32.5 , $40.0 , $-   , $-   , $-   , $-   , $-   , $35.0 , $35.0 , $38.8 , $32.5 , $40.0 , $181.3 ,
Rohan,Verma, $7.00 ,8.25,8.25,8.75,9,6,0.25,0.25,0.75,1,0, $57.8 , $57.8 , $61.3 , $63.0 , $42.0 , $0.88 , $0.88 , $2.63 , $3.50 , $-   , $58.6 , $58.6 , $63.9 , $66.5 , $42.0 , $289.6 ,
Kavya,Rao, $8.00 ,9,9,6.5,7.5,7,1,1,0,0,0, $72.0 , $72.0 , $52.0 , $60.0 , $56.0 , $4.00 , $4.00 , $-   , $-   , $-   , $76.0 , $76.0 , $52.0 , $60.0 , $56.0 , $320.0 ,
Aditya,Joshi, $4.00 ,8,8,8,8.75,8,0,0,0,0.75,0, $32.0 , $32.0 , $32.0 , $35.0 , $32.0 , $-   , $-   , $-   , $1.50 , $-   , $32.0 , $32.0 , $32.0 , $36.5 , $32.0 , $164.5 ,
Meera,Krishnan, $6.00 ,7.5,7.5,9.25,7,9,0,0,1.25,0,1, $45.0 , $45.0 , $55.5 , $42.0 , $54.0 , $-   , $-   , $3.75 , $-   , $3.00 , $45.0 , $45.0 , $59.3 , $42.0 , $57.0 , $248.3 ,
Vikram,Singh, $9.00 ,8.75,8.75,7,8.5,7,0.75,0.75,0,0.5,0, $78.8 , $78.8 , $63.0 , $76.5 , $63.0 , $3.38 , $3.38 , $-   , $2.25 , $-   , $82.1 , $82.1 , $63.0 , $78.8 , $63.0 , $369.0 ,
Neha,Kapoor, $5.00 ,7.25,7.25,8.5,9.25,8,0,0,0.5,1.25,0, $36.3 , $36.3 , $42.5 , $46.3 , $40.0 , $-   , $-   , $1.25 , $3.13 , $-   , $36.3 , $36.3 , $43.8 , $49.4 , $40.0 , $205.6 ,
Sanjay,Desai, $7.00 ,10,8.5,7.75,6.75,6,2,0.5,0,0,0, $70.0 , $59.5 , $54.3 , $47.3 , $42.0 , $7.00 , $1.75 , $-   , $-   , $-   , $77.0 , $61.3 , $54.3 , $47.3 , $42.0 , $281.8 ,
Pooja,Shah, $4.00 ,7.75,7.75,8.25,8.25,9,0,0,0.25,0.25,1, $31.0 , $31.0 , $33.0 , $33.0 , $36.0 , $-   , $-   , $0.50 , $0.50 , $2.00 , $31.0 , $31.0 , $33.5 , $33.5 , $38.0 , $167.0 ,
Nikhil,Malhotra, $8.00 ,8.55,9,9,7.5,8,0.55,1,1,0,0, $68.4 , $72.0 , $72.0 , $60.0 , $64.0 , $2.20 , $4.00 , $4.00 , $-   , $-   , $70.6 , $76.0 , $76.0 , $60.0 , $64.0 , $346.6 ,
Aishwarya,Pillai, $6.00 ,8.25,8.25,6.75,9.5,7,0.25,0.25,0,1.5,0, $49.5 , $49.5 , $40.5 , $57.0 , $42.0 , $0.75 , $0.75 , $-   , $4.50 , $-   , $50.3 , $50.3 , $40.5 , $61.5 , $42.0 , $244.5 ,
Varun,Gupta, $5.00 ,7.5,7.5,8.75,8,9,0,0,0.75,0,1, $37.5 , $37.5 , $43.8 , $40.0 , $45.0 , $-   , $-   , $1.88 , $-   , $2.50 , $37.5 , $37.5 , $45.6 , $40.0 , $47.5 , $208.1 ,
Shreya,Das, $9.00 ,9.55,8.5,7.7,7.25,10,1.55,0.5,0,0,2, $86.0 , $76.5 , $69.3 , $65.3 , $90.0 , $6.98 , $2.25 , $-   , $-   , $9.00 , $92.9 , $78.8 , $69.3 , $65.3 , $99.0 , $405.2 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Max, $9.00 , $10.00 , $9.00 , $9.25 , $9.50 , $10.00 , $2.00 , $1.00 , $1.25 , $1.50 , $2.00 , $85.95 , $78.75 , $72.00 , $76.50 , $90.00 , $7.00 , $4.00 , $4.00 , $4.50 , $9.00 , $92.93 , $82.13 , $76.00 , $78.75 , $99.00 , $405.23 ,
,Min, $4.00 , $7.00 , $7.00 , $6.50 , $6.50 , $6.00 , $-   , $-   , $-   , $-   , $-   , $31.00 , $31.00 , $32.00 , $32.50 , $32.00 , $-   , $-   , $-   , $-   , $-   , $31.00 , $31.00 , $32.00 , $32.50 , $32.00 , $164.50 ,
,Average, $6.40 , $8.27 , $8.11 , $7.96 , $8.03 , $7.80 , $0.46 , $0.30 , $0.31 , $0.41 , $0.35 , $53.29 , $52.28 , $50.30 , $50.73 , $49.30 , $1.57 , $1.06 , $0.90 , $1.13 , $1.13 , $54.86 , $53.34 , $51.20 , $51.85 , $50.43 , $261.68 ,
,Total," $1,065.85 "," $1,045.50 "," $1,006.05 "," $1,014.50 ", $986.00 , $31.43 , $21.25 , $18.00 , $22.50 , $22.50 ," $1,097.28 "," $1,066.75 "," $1,024.05 "," $1,037.00 "," $1,008.50 ",, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $5,233.58 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33333+,,,,,,,,,,,,,,,,,,,,,,,,,,
